timestamp,value
1782857033,5.395833333333333
1782857048,5.395833333333333
1782857063,5.395833333333333
1782857078,5.291666666666667
1782857093,5.291666666666667
1782857108,5.291666666666667
1782857123,5.291666666666667
1782857138,4.945833333333333
1782857153,4.945833333333333
1782857168,4.945833333333333
1782857183,4.945833333333333
1782857198,4.558333333333334
1782857213,4.558333333333334
1782857228,4.558333333333334
1782857243,4.558333333333334
1782857258,4.225
1782857273,4.225
1782857288,4.225
1782857303,4.225
1782857318,4.029166666666667
1782857333,4.029166666666667
1782857348,4.029166666666667
1782857363,4.029166666666667
1782857378,4.041666666666667
1782857393,4.041666666666667
1782857408,4.041666666666667
1782857423,4.041666666666667
1782857438,4.295779636087882
1782857453,4.295779636087882
1782857468,4.295779636087882
1782857483,4.295779636087882
1782857498,3.2916666666666665
1782857513,3.2916666666666665
1782857528,3.2916666666666665
1782857543,3.2916666666666665
1782857558,3.2
1782857573,2.658528
1782857588,2.498528
1782857603,2.3385279999999997
1782857618,1.6906285
1782857633,1.5664618333333333
