timestamp,value
1782854449,1
1782854464,1
1782854479,1
1782854494,1
1782854509,1
1782854524,1
1782854539,1
1782854554,1
1782854569,1
1782854584,1
1782854599,1
1782854614,1
1782854629,1
1782854644,1
1782854659,1
1782854674,1
1782854689,1
1782854704,1
1782854719,1
1782854734,1
1782854749,1
1782854764,1
1782854779,1
1782854794,1
1782854809,1
1782854824,1
1782854839,1
1782854854,1
1782854869,1
1782854884,1
1782854899,1
1782854914,1
1782854929,1
1782854944,1
1782854959,1
1782854974,1
1782854989,1
1782855004,1
1782855019,1
1782855034,1
1782855049,1
