timestamp,value
1782854449,2.5541666666666667
1782854464,2.5541666666666667
1782854479,2.5541666666666667
1782854494,2.4375
1782854509,2.4375
1782854524,2.4375
1782854539,2.4375
1782854554,2.3583333333333334
1782854569,2.3583333333333334
1782854584,2.3583333333333334
1782854599,2.3583333333333334
1782854614,2.1458333333333335
1782854629,2.1458333333333335
1782854644,2.1458333333333335
1782854659,2.1458333333333335
1782854674,2.120833333333333
1782854689,2.120833333333333
1782854704,2.120833333333333
1782854719,2.120833333333333
1782854734,1.9625
1782854749,1.9625
1782854764,1.9625
1782854779,1.9625
1782854794,2.0666666666666664
1782854809,2.0666666666666664
1782854824,2.0666666666666664
1782854839,2.0666666666666664
1782854854,1.8583333333333334
1782854869,1.8583333333333334
1782854884,1.8583333333333334
1782854899,1.8583333333333334
1782854914,1.7708333333333333
1782854929,1.7708333333333333
1782854944,1.7708333333333333
1782854959,1.7708333333333333
1782854974,1.6791666666666667
1782854989,1.6791666666666667
1782855004,1.6791666666666667
1782855019,1.6791666666666667
1782855034,1.1333333333333333
1782855049,1.1333333333333333
